strata,age,prop_NSAS,prop_WBSS
11,1,1.00,0.00
11,2,0.22,0.78
11,3,0.34,0.66
11,4,0.78,0.22
11,5,0.78,0.22
11,6,0.78,0.22
11,7,0.78,0.22
11,8,0.78,0.22
11,9,0.78,0.22
11,10,0.78,0.22
11,11,0.78,0.22
11,12,0.78,0.22
11,13,0.78,0.22
141,1,1.00,0.00
141,2,0.63,0.37
141,3,0.14,0.86
141,4,0.00,1.00
141,5,0.00,1.00
141,6,0.00,1.00
141,7,0.00,1.00
141,8,0.00,1.00
141,9,0.00,1.00
