Stratum,Transect,FID,SA,ID,Cruise,LOG,longitude,latitude,Mat_Perc,Imm_Perc,multiplier,MAT,IMM
101,T35,T35_10,279.61,NLHERAS2019_50.0,NLHERAS2019,50,-2.237,57.765,0,1,73659.51084,0,20.59593583
101,T34,T34_470,0,0919S_2350.1,0919S,2350.1,-2.96,57.88,0,1,73659.51084,0,0
101,T35,T35_16,0,NLHERAS2019_80.0,NLHERAS2019,80,-2.582,58.065,0,1,73659.51084,0,0
101,T35,T35_9,285.24,NLHERAS2019_46.0,NLHERAS2019,46,-2.151,57.733,0,1,73659.51084,0,21.01063887
101,T34,T34_469,0,0919S_2345.1,0919S,2345.1,-3.05,57.95,0,1,73659.51084,0,0
101,T35,T35_15,0,NLHERAS2019_78.9,NLHERAS2019,78.9,-2.562,58.05,0,1,73659.51084,0,0
101,T34,T34_468,0,0919S_2340.1,0919S,2340.1,-3.14,58.01,0,1,73659.51084,0,0
101,T35,T35_11,2850.95,NLHERAS2019_55.0,NLHERAS2019,55,-2.321,57.837,0,1,73659.51084,0,209.9995824
101,T34,T34_466,0,0919S_2330.1,0919S,2330.1,-3.33,58.13,0,1,73659.51084,0,0
101,T34,T34_467,0,0919S_2335.1,0919S,2335.1,-3.23,58.07,0,1,73659.51084,0,0
101,T35,T35_13,422.69,NLHERAS2019_65.0,NLHERAS2019,65,-2.488,57.978,0,1,73659.51084,0,31.13513864
101,T34,T34_471,0,0919S_2355.1,0919S,2355.1,-2.87,57.82,0,1,73659.51084,0,0
101,T34,T34_465,0,0919S_2327.1,0919S,2327.1,-3.38,58.16,0,1,73659.51084,0,0
101,T34,T34_472,0,0919S_2360.1,0919S,2360.1,-2.78,57.76,0,1,73659.51084,0,0
101,T35,T35_12,226.76,NLHERAS2019_60.0,NLHERAS2019,60,-2.403,57.908,0,1,73659.51084,0,16.70303068
111,T12,T12_252,183.0036,0919S_1260.8,0919S,1260.8,1.81,61.36,1,0,17757.97827,3.249773952,0
111,T12,T12_250,0,0919S_1250.8,0919S,1250.8,1.49,61.35,1,0,17757.97827,0,0
111,T11,T11_253,0,0919S_1266.7,0919S,1266.7,2,61.36,1,0,17757.97827,0,0
111,T12,T12_253,0,0919S_1265.8,0919S,1265.8,1.97,61.36,1,0,17757.97827,0,0
111,T13,T13_223,35.64209,0919S_1115.6,0919S,1115.6,1.17,61.11,0.999645063,0.000354937,17757.97827,0.632706809,0.000224651
111,T15,T15_209,4003.50371,0919S_1045.7,0919S,1045.7,0.57,60.61,0.999728528,0.000271472,17757.97827,71.07483183,0.019300054
111,T13,T13_227,1715.06653,0919S_1135.6,0919S,1135.6,0.51,61.11,0.999645063,0.000354937,17757.97827,30.44530417,0.010809996
111,T12,T12_251,211.70289,0919S_1255.8,0919S,1255.8,1.65,61.36,1,0,17757.97827,3.75941532,0
111,T13,T13_218,0,0919S_1090.6,0919S,1090.6,1.99,61.11,0.999645063,0.000354937,17757.97827,0,0
111,T12,T12_249,0,0919S_1245.8,0919S,1245.8,1.34,61.36,1,0,17757.97827,0,0
111,T13,T13_219,0,0919S_1095.6,0919S,1095.6,1.82,61.11,0.999645063,0.000354937,17757.97827,0,0
111,T13,T13_220,40.03886,0919S_1100.6,0919S,1100.6,1.66,61.11,0.999645063,0.000354937,17757.97827,0.710756842,0.000252363
