"Stratum","Transect","FID","SA","ID","Cruise","LOG","longitude","latitude","Mat_Perc","Imm_Perc","multiplier","MAT","IMM"
"101","T69","T69_173",142.82,"NLHERAS2018_865.0","NLHERAS2018","865.0",-2.768,58.372,1,0,120945.861939129,17.2734880021463,0
"101","T70","T70_160",4648.9,"NLHERAS2018_802.0","NLHERAS2018","802.0",-2.641,57.758,1,0,120945.861939129,562.265217568814,0
"101","T69","T69_176",108.64,"NLHERAS2018_880.0","NLHERAS2018","880.0",-2.531,58.155,1,0,120945.861939129,13.1395584410669,0
"101","T69","T69_177",275.75,"NLHERAS2018_885.0","NLHERAS2018","885.0",-2.475,58.084,1,0,120945.861939129,33.3508214297147,0
"101","T69","T69_180",795.88,"NLHERAS2018_900.0","NLHERAS2018","900.0",-2.211,57.877,1,0,120945.861939129,96.2583926001136,0
"101","T69","T69_182",0,"NLHERAS2018_910.0","NLHERAS2018","910.0",-2.04,57.737,1,0,120945.861939129,0,0
"101","T69","T69_178",108.85,"NLHERAS2018_890.0","NLHERAS2018","890.0",-2.384,58.016,1,0,120945.861939129,13.1649570720741,0
"101","T69","T69_179",217.08,"NLHERAS2018_895.0","NLHERAS2018","895.0",-2.301,57.946,1,0,120945.861939129,26.254927709746,0
"101","T69","T69_181",23286.92,"NLHERAS2018_905.0","NLHERAS2018","905.0",-2.122,57.808,1,0,120945.861939129,2816.45661130753,0
"101","T69","T69_174",0.06,"NLHERAS2018_870.0","NLHERAS2018","870.0",-2.687,58.3,1,0,120945.861939129,0.00725675171634771,0
"101","T69","T69_172",434.3,"NLHERAS2018_861.0","NLHERAS2018","861.0",-2.833,58.429,1,0,120945.861939129,52.5267878401635,0
"101","T69","T69_175",32.76,"NLHERAS2018_875.0","NLHERAS2018","875.0",-2.609,58.227,1,0,120945.861939129,3.96218643712585,0
"101","T71","T71_152",0,"NLHERAS2018_762.5","NLHERAS2018","762.5",-3.499,58.004,1,0,120945.861939129,0,0
"101","T71","T71_154",462.89,"NLHERAS2018_770.0","NLHERAS2018","770.0",-3.381,57.898,1,0,120945.861939129,55.9846300330032,0
"101","T70","T70_165",4131.82,"NLHERAS2018_825.0","NLHERAS2018","825.0",-2.831,57.927,1,0,120945.861939129,499.72653127733,0
"101","T70","T70_166",1013.17,"NLHERAS2018_830.0","NLHERAS2018","830.0",-2.912,57.998,1,0,120945.861939129,122.538718940867,0
"101","T70","T70_161",5144.629,"NLHERAS2018_805.0","NLHERAS2018","805.0",-2.687,57.801,1,0,120945.861939129,622.221588762037,0
"101","T70","T70_164",2258.355,"NLHERAS2018_821.3","NLHERAS2018","821.3",-2.773,57.874,1,0,120945.861939129,273.138692039541,0
"101","T70","T70_167",1669.3,"NLHERAS2018_835.0","NLHERAS2018","835.0",-2.989,58.071,1,0,120945.861939129,201.894927334987,0
"101","T71","T71_153",129.16,"NLHERAS2018_765.0","NLHERAS2018","765.0",-3.461,57.969,1,0,120945.861939129,15.6213675280578,0
"101","T71","T71_155",632.7,"NLHERAS2018_775.0","NLHERAS2018","775.0",-3.301,57.832,1,0,120945.861939129,76.5224468488866,0
"101","T70","T70_168",1380.97,"NLHERAS2018_840.0","NLHERAS2018","840.0",-3.074,58.142,1,0,120945.861939129,167.022606962078,0
"131","T50","T50_601",11.7557,"06SL750_3005.0","06SL750","3005.0",2.981336,54.86781,1,0,231729.657032021,2.72414432917132,0
"131","T50","T50_615",0,"06SL750_3075.0","06SL750","3075.0",4.155642,54.86804,1,0,231729.657032021,0,0
"131","T50","T50_594",0,"06SL750_2970.0","06SL750","2970.0",1.974506,54.86739,1,0,231729.657032021,0,0
"131","T50","T50_617",0,"06SL750_3085.0","06SL750","3085.0",4.444027,54.86796,1,0,231729.657032021,0,0
"131","T50","T50_629",1.53231,"06SL750_3145.0","06SL750","3145.0",5.944043,54.86818,1,0,231729.657032021,0.355081670766735,0
"131","T50","T50_597",0,"06SL750_2985.0","06SL750","2985.0",2.406953,54.86814,1,0,231729.657032021,0,0
"131","T50","T50_598",0,"06SL750_2990.0","06SL750","2990.0",2.548548,54.86785,1,0,231729.657032021,0,0
"131","T50","T50_599",0,"06SL750_2995.0","06SL750","2995.0",2.692897,54.86858,1,0,231729.657032021,0,0
"131","T50","T50_600",0,"06SL750_3000.0","06SL750","3000.0",2.837162,54.86821,1,0,231729.657032021,0,0
"131","T50","T50_618",0,"06SL750_3090.0","06SL750","3090.0",4.588336,54.86816,1,0,231729.657032021,0,0
"131","T50","T50_592",1.78316,"06SL750_2963.0","06SL750","2963.0",1.772573,54.8686,1,0,231729.657032021,0.413211055233218,0
"131","T50","T50_593",2.06127,"06SL750_2965.0","06SL750","2965.0",1.830324,54.86856,1,0,231729.657032021,0.477657390150393,0
"131","T50","T50_595",0,"06SL750_2975.0","06SL750","2975.0",2.118667,54.86821,1,0,231729.657032021,0,0
"131","T50","T50_596",0,"06SL750_2980.0","06SL750","2980.0",2.262871,54.86823,1,0,231729.657032021,0,0
"131","T50","T50_626",0,"06SL750_3130.0","06SL750","3130.0",5.511352,54.8684,1,0,231729.657032021,0,0
"131","T50","T50_616",0,"06SL750_3080.0","06SL750","3080.0",4.299816,54.86831,1,0,231729.657032021,0,0
"131","T51","T51_571",73.7904,"06SL750_2855.0","06SL750","2855.0",2.394727,55.36726,1,0,231729.657032021,17.0994240842556,0
"131","T51","T51_577",166.64912,"06SL750_2885.0","06SL750","2885.0",2.333745,55.36602,1,0,231729.657032021,38.617543422288,0
