"Stratum","Transect","FID","SA","ID","Cruise","LOG","longitude","latitude","Mat_Perc","Imm_Perc","multiplier","MAT","IMM"
"11","T12","T12_686",0,"2019207_3430.0",2019207,"3430.0",4.792247,59.784912,0.841050115047081,0.158949884952919,20590.8599284065,0,0
"11","T13","T13_689",0,"2019207_3448.7",2019207,"3448.7",4.8370233,60.03298,0.884049634789081,0.115950365210919,20590.8599284065,0,0
"11","T12","T12_685",0,"2019207_3425.0",2019207,"3425.0",4.6277084,59.789047,0.841050115047081,0.158949884952919,20590.8599284065,0,0
"11","T13","T13_696",10.008096,"2019207_3480.0",2019207,"3480.0",3.835735,60.04185,0.884049634789081,0.115950365210919,20590.8599284065,0.182180796255457,0.0238945066305876
"11","T13","T13_697",24.958983,"2019207_3485.0",2019207,"3485.0",3.6695366,60.04249,0.884049634789081,0.115950365210919,20590.8599284065,0.454336908505516,0.0595900144029616
"11","T13","T13_690",958.830046,"2019207_3450.0",2019207,"3450.0",4.794873,60.0349,0.884049634789081,0.115950365210919,20590.8599284065,17.4539114386929,2.2892237336406
"11","T12","T12_669",50.010426,"2019207_3345.0",2019207,"3345.0",2.5803683,59.789413,0.841050115047081,0.158949884952919,20590.8599284065,0.866077812480963,0.163679864244973
"11","T12","T12_670",2.311578,"2019207_3350.0",2019207,"3350.0",2.745125,59.790913,0.841050115047081,0.158949884952919,20590.8599284065,0.0400317809254238,0.00756559788616208
"11","T12","T12_671",0,"2019207_3357.7",2019207,"3357.7",2.8288467,59.788322,0.841050115047081,0.158949884952919,20590.8599284065,0,0
"11","T12","T12_672",5.000821,"2019207_3360.0",2019207,"3360.0",2.9047558,59.78917,0.841050115047081,0.158949884952919,20590.8599284065,0.0866039435914596,0.0163672611465739
"11","T12","T12_673",0,"2019207_3365.0",2019207,"3365.0",3.0696,59.79201,0.841050115047081,0.158949884952919,20590.8599284065,0,0
"11","T13","T13_691",0,"2019207_3455.0",2019207,"3455.0",4.62895,60.037518,0.884049634789081,0.115950365210919,20590.8599284065,0,0
"11","T13","T13_692",16.013274,"2019207_3460.0",2019207,"3460.0",4.46329,60.03808,0.884049634789081,0.115950365210919,20590.8599284065,0.291495106359572,0.0382319755696204
"11","T13","T13_693",0,"2019207_3465.0",2019207,"3465.0",4.334,60.039276,0.884049634789081,0.115950365210919,20590.8599284065,0,0
"11","T13","T13_694",15.001493,"2019207_3470.0",2019207,"3470.0",4.167977,60.039997,0.884049634789081,0.115950365210919,20590.8599284065,0.273077310585417,0.0358163304945529
"11","T13","T13_695",30.016233,"2019207_3475.0",2019207,"3475.0",4.00183,60.040512,0.884049634789081,0.115950365210919,20590.8599284065,0.546395760844953,0.071664288436458
"11","T12","T12_680",144.022176,"2019207_3400.0",2019207,"3400.0",3.811183,59.789898,0.841050115047081,0.158949884952919,20590.8599284065,2.49416813883626,0.471372313764045
"11","T12","T12_681",9.998077,"2019207_3405.0",2019207,"3405.0",3.9762516,59.788403,0.841050115047081,0.158949884952919,20590.8599284065,0.173146148708596,0.0327228543518262
"11","T12","T12_682",0,"2019207_3410.0",2019207,"3410.0",4.140412,59.79217,0.841050115047081,0.158949884952919,20590.8599284065,0,0
"11","T12","T12_683",0,"2019207_3415.0",2019207,"3415.0",4.297919,59.79068,0.841050115047081,0.158949884952919,20590.8599284065,0,0
"11","T12","T12_684",171.202161,"2019207_3420.0",2019207,"3420.0",4.4628577,59.78833,0.841050115047081,0.158949884952919,20590.8599284065,2.96486962720321,0.56033008938828
"11","T14","T14_729",0,"2019207_3645.0",2019207,"3645.0",4.13874,60.286633,0.930603124204131,0.069396875795869,20590.8599284065,0,0
"11","T14","T14_730",0,"2019207_3653.6",2019207,"3653.6",4.2612233,60.28807,0.930603124204131,0.069396875795869,20590.8599284065,0,0
"11","T14","T14_731",14.999006,"2019207_3655.0",2019207,"3655.0",4.308209,60.287502,0.930603124204131,0.069396875795869,20590.8599284065,0.287409731744302,0.0214326998670255
