"strata","length","age","maturity","stock","number","biomass_g","meanW_g"
111,23,4,"MAT","her-47d3",445240.7234,57881294.042,130
121,23,4,"MAT","her-47d3",519985.1639,67598071.307,130
91,23.5,4,"MAT","her-47d3",2498289.168,319781013.504,128
111,23.5,4,"MAT","her-47d3",1126188.2678,148093757.2157,131.5
91,24,4,"MAT","her-47d3",15062903.25,1955917987.0125,129.85
111,24,4,"MAT","her-47d3",2041317.2769,255164659.6125,125
121,24,4,"MAT","her-47d3",17687996.6376,2122559596.512,120
91,24.5,4,"MAT","her-47d3",28804478.868,3821394196.488,132.666666666667
111,24.5,4,"MAT","her-47d3",18058080.4475,2407503285.2607,133.32
121,24.5,4,"MAT","her-47d3",17949770.2725,2379421547.3226,132.56
91,25,4,"MAT","her-47d3",91410210.1125,12889516738.53,141.007407407407
111,25,4,"MAT","her-47d3",37997954.8193,5496520484.8816,144.65306122449
121,25,4,"MAT","her-47d3",49277191.752,6639417183.141,134.736111111111
41,25.5,4,"MAT","her-47d3",1631258.1208,229117617.876,140.454545454545
81,25.5,4,"MAT","her-47d3",2098.6538,300107.4934,143
91,25.5,4,"MAT","her-47d3",144709337.0034,22096621027.6431,152.696581196581
111,25.5,4,"MAT","her-47d3",86740598.1904,12608365522.676,145.357142857143
121,25.5,4,"MAT","her-47d3",52221955.397,7512067560.6545,143.848837209302
151,25.5,4,"MAT","her-47d3",331654.1784,39798501.408,120
152,25.5,4,"MAT","her-47d3",481660.2318,57799227.816,120
91,26,4,"MAT","her-47d3",59921648.5816,9252709178.5761,154.413461538462
111,26,4,"MAT","her-47d3",73438678.664,12080662640.228,164.5
121,26,4,"MAT","her-47d3",13896909.2043,2152991525.9847,154.925925925926
41,26.5,4,"MAT","her-47d3",680938.6235,101187479.4521,148.6
91,26.5,4,"MAT","her-47d3",62796664.678,10366016702.0284,165.072727272727
111,26.5,4,"MAT","her-47d3",81559431.0576,13761044695.3392,168.724137931034
121,26.5,4,"MAT","her-47d3",13543275.2028,2062447338.0264,152.285714285714
151,26.5,4,"MAT","her-47d3",336561.9504,49138044.7584,146
152,26.5,4,"MAT","her-47d3",2099905.9956,306586275.3576,146
91,27,4,"MAT","her-47d3",25591838.5452,4432395167.1654,173.195652173913
111,27,4,"MAT","her-47d3",59317914.69,10374703279.281,174.9
121,27,4,"MAT","her-47d3",11740017.783,1957422195.7425,166.730769230769
41,27.5,4,"MAT","her-47d3",174481.5649,31232200.1171,179
91,27.5,4,"MAT","her-47d3",1729132.6962,287036027.5692,166
111,27.5,4,"MAT","her-47d3",40329044.7924,8145432969.9932,201.974358974359
121,27.5,4,"MAT","her-47d3",475251.1351,83644199.7776,176
152,27.5,4,"MAT","her-47d3",230866.5847,41325118.6613,179
41,28,4,"MAT","her-47d3",433123.7706,74930412.3138,173
91,28,4,"MAT","her-47d3",2056561.14,410798087.715,199.75
111,28,4,"MAT","her-47d3",50809003.2782,10754966228.7948,211.674418604651
121,28,4,"MAT","her-47d3",22726667.7528,4663802350.548,205.212765957447
41,28.5,4,"MAT","her-47d3",384199.134,76967893.178,200.333333333333
91,28.5,4,"MAT","her-47d3",3571018.5872,778482052.0096,218
111,28.5,4,"MAT","her-47d3",28563979.983,6404823329.8245,224.227272727273
121,28.5,4,"MAT","her-47d3",9349608.252,1988194194.7878,212.65
152,28.5,4,"MAT","her-47d3",251017.8114,40413867.6354,161
91,29,4,"MAT","her-47d3",439938.2574,94146787.0836,214
