strata,length,age,maturity,stock,number,biomass_g,meanW_g
21,20.5,2,IMM,her-47d3,1291352.074,76706313.17,59.4
21,21,2,IMM,her-47d3,2264692.717,144940333.9,64
21,21.5,2,IMM,her-47d3,715929.1428,45819465.14,64
21,22.5,2,IMM,her-47d3,357273.5737,27510065.17,77
21,24,2,IMM,her-47d3,372674.0705,37267407.05,100
21,20,3,IMM,her-47d3,523895.5718,27242569.73,52
21,22,3,IMM,her-47d3,363976.1942,22202547.85,61
21,23.5,3,IMM,her-47d3,720050.2014,73445120.54,102
21,16.5,1,MAT,her-47d3,308145.6634,8628078.575,28
21,19,1,MAT,her-47d3,1538987.409,71562914.52,46.5
21,19.5,1,MAT,her-47d3,1092563.523,58725289.35,53.75
21,21.5,1,MAT,her-47d3,357964.5714,23625661.71,66
21,19.5,2,MAT,her-47d3,273140.8807,13383903.15,49
21,21,2,MAT,her-47d3,323527.531,17794014.21,55
21,21.5,2,MAT,her-47d3,357964.5714,27563272,77
21,22.5,2,MAT,her-47d3,1429094.295,114327543.6,80
21,20,3,MAT,her-47d3,523895.5718,27766465.31,53
21,21,3,MAT,her-47d3,323527.531,21676344.58,67
21,22.5,3,MAT,her-47d3,357273.5737,24651876.59,69
21,23.5,3,MAT,her-47d3,360025.1007,36002510.07,100
21,25,3,MAT,her-47d3,755229.386,75145323.91,99.5
21,26,3,MAT,her-47d3,362956.6994,52265764.71,144
21,26.5,3,MAT,her-47d3,377614.693,58152662.72,154
31,19,2,-,her-47d3,5387330.245,339401805.4,63
31,22.5,3,-,her-3a22,1395800.492,117247241.3,84
31,8.5,0,IMM,her-47d3,720147.276,2160441.828,3
31,9.5,0,IMM,her-47d3,192039.2736,912186.5496,4.75
31,10.5,1,IMM,her-47d3,619562.2372,18586867.12,30
31,17,1,IMM,her-47d3,4301569.29,162025776.6,37.66666667
31,18.5,1,IMM,her-47d3,2967698.416,136514127.1,46
31,19,1,IMM,her-47d3,3169017.791,186972049.7,59
31,19.5,1,IMM,her-47d3,11661272.36,604720266.7,51.85714286
31,20,1,IMM,her-47d3,9868246.718,629453165.7,63.78571429
31,20.5,1,IMM,her-47d3,7017727.739,453033313,64.55555556
31,21,1,IMM,her-47d3,6816287.295,478342984.9,70.17647059
31,22,1,IMM,her-47d3,2245289.814,161660866.6,72
31,20,2,IMM,her-47d3,4581685.976,233665984.8,51
31,21,2,IMM,her-3a22,4009580.762,272651491.8,68
31,22,2,IMM,her-3a22,8532101.291,708613465.1,83.05263158
31,23,2,IMM,her-47d3,805236.1182,70860778.4,88
31,23.5,2,IMM,her-47d3,415354.5271,39874034.6,96
31,25.5,2,IMM,her-3a22,310482.2444,39741727.28,128
31,21.5,3,IMM,her-3a22,1759727.77,114382305.1,65
31,22,3,IMM,her-3a22,3143405.739,254615864.9,81
31,22,4,IMM,her-3a22,449057.9627,31434057.39,70
31,23,4,IMM,her-3a22,402618.0591,30598972.49,76
31,23.5,6,IMM,her-3a22,415354.5271,37381907.44,90
31,18,1,-,her-3a22,8332731.729,391638391.3,47
31,17.5,2,-,her-3a22,6574114.67,302409274.8,46
31,19,2,-,her-3a22,6971839.14,397394831,57
31,15.5,1,IMM,her-3a22,268234.9372,7242343.304,27
31,16,1,IMM,her-3a22,732584.935,23442717.92,32
31,16.5,1,IMM,her-3a22,595537.6706,19057205.46,32
31,17,1,IMM,her-3a22,4660033.398,162384240.7,34.84615385
31,17.5,1,IMM,her-3a22,10289918.61,389301920.9,37.83333333
31,18,1,IMM,her-3a22,2777577.243,108325512.5,39
31,18.5,1,IMM,her-3a22,5638626.99,273325024.1,48.47368421
31,19,1,IMM,her-3a22,7922544.478,398979339.9,50.36
31,19.5,1,IMM,her-3a22,5330867.365,291198629.8,54.625
31,20,1,IMM,her-3a22,7401185.039,452177162.1,61.0952381
31,17,2,IMM,her-3a22,2150784.645,75277462.58,35
31,18.5,2,IMM,her-3a22,2374158.733,111585460.4,47
31,19.5,2,IMM,her-3a22,1999075.262,101952838.4,51
